,Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
0,xQcOW,6196161750,215250,222720,27716,3246298.0,1734810.0,93036735.0,True,False,English
1,summit1g,6091677300,211845,310998,25610,5310163.0,1370184.0,89705964.0,True,False,English
2,Gaules,5644590915,515280,387315,10976,1767635.0,1023779.0,102611607.0,True,True,Portuguese
3,ESL_CSGO,3970318140,517740,300575,7714,3944850.0,703986.0,106546942.0,True,False,English
4,Tfue,3671000070,123660,285644,29602,8938903.0,2068424.0,78998587.0,True,False,English
5,Asmongold,3668799075,82260,263720,42414,1563438.0,554201.0,61715781.0,True,False,English
6,NICKMERCS,3360675195,136275,115633,24181,4074287.0,1089824.0,46084211.0,True,False,English
7,Fextralife,3301867485,147885,68795,18985,508816.0,425468.0,670137548.0,True,False,English
8,loltyler1,2928356940,122490,89387,22381,3530767.0,951730.0,51349926.0,True,False,English
9,Anomaly,2865429915,92880,125408,12377,2607076.0,1532689.0,36350662.0,True,False,English
10,TimTheTatman,2834436990,108780,142067,25664,5265659.0,1244341.0,50119786.0,True,True,English
11,LIRIK,2832930285,128490,89170,21739,2666382.0,199077.0,50504526.0,True,False,English
12,Riot Games (riotgames),2674646715,80820,639375,20960,4487489.0,497678.0,56855694.0,True,False,English
13,Rubius,2588632635,58275,240096,42948,5751354.0,3820532.0,58599449.0,True,False,Spanish
14,auronplay,2410022550,40575,170115,53986,3983847.0,3966525.0,41514854.0,True,False,Spanish
15,MontanaBlack88,2408460990,67740,181600,33514,2911316.0,1101093.0,37189666.0,True,True,German
16,sodapoppin,2329440420,115305,107833,19659,2786162.0,236169.0,39334821.0,True,True,English
17,풍월량 (hanryang1125),2186662470,181230,26999,12201,494445.0,92205.0,34405975.0,True,False,Korean
18,alanzoka,2055003870,103770,89153,19560,3445134.0,1325075.0,46515698.0,True,False,Portuguese
19,CohhCarnage,2029212570,175230,43615,11343,1264808.0,124242.0,38718674.0,True,False,English
20,Lord_Kebun,1943299035,153720,34830,12367,434200.0,137215.0,19645967.0,True,False,English
21,LCK_Korea,1916365860,47325,140557,39848,619382.0,255088.0,76225485.0,True,False,Korean
22,Castro_1021,1845157080,100215,125133,17779,2411995.0,550678.0,22672980.0,True,False,English
23,DrDisrespect,1839882465,73065,97540,23794,4450718.0,825004.0,43919410.0,True,False,English
24,TheRealKnossi,1811696100,56010,288459,24595,1260160.0,1082039.0,25342894.0,True,True,German
25,TheGrefg,1757406750,54855,538444,28887,3795667.0,3593081.0,47094362.0,True,False,Spanish
26,YoDa,1690237110,135675,123796,12868,1792625.0,383130.0,38499423.0,True,False,Portuguese
27,Pestily,1659741015,138300,168112,8481,616168.0,520342.0,24029726.0,True,False,English
28,한동숙 (handongsuk),1621667925,127815,44976,12869,385250.0,73602.0,30610352.0,True,False,Korean
29,GamesDoneQuick,1619144100,87450,234826,6734,1724316.0,113469.0,43345080.0,True,False,English
30,Solary,1546597380,486510,24470,3187,493207.0,143569.0,48799554.0,True,False,French
31,Gotaga,1538511315,141675,81644,10750,2401580.0,632118.0,39591707.0,True,False,French
32,MOONMOON,1527882945,124680,24892,11220,923448.0,95776.0,13505898.0,True,True,English
33,DrLupo,1517612010,172350,90696,8311,4115083.0,567795.0,47295386.0,True,False,English
34,OgamingLoL,1483207890,496950,204491,3020,523758.0,115965.0,71583995.0,True,False,French
35,Myth,1479214575,134760,122552,9396,6726893.0,1421811.0,37384058.0,True,False,English
36,Evelone192,1474742220,83010,106900,16422,1075101.0,826433.0,47400543.0,True,False,Russian
37,nl_Kripp,1470897720,155895,29316,9256,1379123.0,96793.0,20034033.0,True,False,English
38,LEC,1470431925,45660,305119,28830,973727.0,551345.0,25924096.0,True,False,English
39,dota2mc_ru,1464683175,66675,182869,19495,428284.0,156721.0,38774178.0,True,False,Russian
40,Fresh,1464179820,147660,57431,9728,3135667.0,1875187.0,25341820.0,True,False,English
41,LCS,1461310140,31125,214124,46459,1162746.0,526244.0,28313058.0,True,False,English
42,ROSHTEIN,1435735725,118995,45843,11717,381918.0,242369.0,17836875.0,False,True,English
43,ibai,1412913285,57795,173238,22837,1894953.0,1602088.0,44178173.0,True,False,Spanish
44,TFBlade,1394312895,141285,35833,9117,1008040.0,450146.0,35978104.0,True,False,English
45,Sardoche,1361024835,164235,144066,8066,746865.0,370358.0,32261961.0,True,True,French
46,LCK,1351758525,37140,171861,36030,934688.0,307853.0,28970100.0,True,False,English
47,Yassuo,1347412425,103905,70587,10531,1878416.0,689957.0,32362117.0,True,False,English
48,HasanAbi,1339344945,193560,44649,6543,470123.0,340810.0,14154952.0,True,False,English
49,BeyondTheSummit,1339097490,505080,116547,2635,923689.0,114948.0,42403593.0,True,False,English
